,ds,opt,randomseed,cls,resampling,grp,gmean,config,cls_grp,cls_resampler
35,vehicle1,TPE,90,SVM,SMOTE,Over Resampling,0.8835518440651541,"{'classifier': {'C': 5.39927036453945, 'coef0': 0.6846867406101356, 'degree': 3, 'gamma': 'auto', 'gamma_value': 1.1148125062855092, 'kernel': 'poly', 'name': 'SVM', 'probability': False, 'random_state': 90, 'shrinking': False, 'tol': 0.09039808695136453}, 'sub': {'k_neighbors': 5, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'SMOTE'}}",SVM-Over Resampling,SVM-SMOTE
36,vehicle3,TPE,90,SVM,RandomOverSampler,Over Resampling,0.8592194751208202,"{'classifier': {'C': 6.977293498445895, 'coef0': 0.7913248779955301, 'degree': 2, 'gamma': 'auto', 'gamma_value': 6.479826447441846, 'kernel': 'poly', 'name': 'SVM', 'probability': False, 'random_state': 90, 'shrinking': True, 'tol': 0.05762033375939168}, 'sub': {'random_state': 90, 'smo_grp': 'OVER', 'type': 'RandomOverSampler'}}",SVM-Over Resampling,SVM-RandomOverSampler
37,vehicle2,TPE,90,RF,BorderlineSMOTE,Over Resampling,0.9905311353511248,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 72, 'name': 'RF', 'random_state': 90}, 'sub': {'k_neighbors': 4, 'kind': 'borderline-2', 'm_neighbors': 9, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'BorderlineSMOTE'}}",RF-Over Resampling,RF-BorderlineSMOTE
38,yeast4,TPE,90,RF,InstanceHardnessThreshold,Under Resampling,0.8856170776916226,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 5, 'n_estimators': 16, 'name': 'RF', 'random_state': 90}, 'sub': {'cv': 2, 'estimator': None, 'random_state': 90, 'smo_grp': 'UNDER', 'type': 'InstanceHardnessThreshold'}}",RF-Under Resampling,RF-InstanceHardnessThreshold
39,yeast3,TPE,90,RF,SMOTEENN,Combine Resampling,0.9393976922544194,"{'classifier': {'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 9, 'min_samples_split': 8, 'n_estimators': 148, 'name': 'RF', 'random_state': 90}, 'sub': {'random_state': 90, 'smo_grp': 'COMBINE', 'type': 'SMOTEENN'}}",RF-Combine Resampling,RF-SMOTEENN
40,abalone19,TPE,90,LR,SMOTEENN,Combine Resampling,0.7966698655259343,"{'classifier': {'C': 64.06420523460119, 'l1_ratio': 0.07582741335426772, 'name': 'LR', 'penalty_solver': 'l1+saga', 'random_state': 90, 'tol': 0.03139313457251261}, 'sub': {'random_state': 90, 'smo_grp': 'COMBINE', 'type': 'SMOTEENN'}}",LR-Combine Resampling,LR-SMOTEENN
41,yeast1,TPE,90,RF,OneSidedSelection,Under Resampling,0.7329975607328538,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 1, 'min_samples_leaf': 6, 'min_samples_split': 13, 'n_estimators': 61, 'name': 'RF', 'random_state': 90}, 'sub': {'n_neighbors': 15, 'n_seeds_S': 12, 'random_state': 90, 'smo_grp': 'UNDER', 'type': 'OneSidedSelection'}}",RF-Under Resampling,RF-OneSidedSelection
42,segment0,TPE,90,SVM,SVMSMOTE,Over Resampling,0.9992419453700728,"{'classifier': {'C': 40.26839780569037, 'coef0': -0.7789337522161955, 'degree': 3, 'gamma': 'auto', 'gamma_value': 1.501807752599459, 'kernel': 'rbf', 'name': 'SVM', 'probability': False, 'random_state': 90, 'shrinking': True, 'tol': 0.06740466260817714}, 'sub': {'k_neighbors': 7, 'm_neighbors': 2, 'out_step': 0.9295873007559433, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'SVMSMOTE'}}",SVM-Over Resampling,SVM-SVMSMOTE
43,page-blocks0,TPE,90,RF,ADASYN,Over Resampling,0.9460755221110968,"{'classifier': {'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_features': 1, 'min_samples_leaf': 17, 'min_samples_split': 6, 'n_estimators': 121, 'name': 'RF', 'random_state': 90}, 'sub': {'n_neighbors': 9, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'ADASYN'}}",RF-Over Resampling,RF-ADASYN
44,glass-0-1-6_vs_5,TPE,18,KNN,SMOTEENN,Combine Resampling,0.9569395488550424,"{'classifier': {'algorithm': 'brute', 'n_neighbors': 1, 'name': 'KNN', 'p': 4, 'random_state': 18, 'weights': 'uniform'}, 'sub': {'random_state': 18, 'smo_grp': 'COMBINE', 'type': 'SMOTEENN'}}",KNN-Combine Resampling,KNN-SMOTEENN
